id,login,name,sponsor,email,password,type,zip,latitude,longitude,registrationDate,ranking,sponsorId,OrgId
33,c33,Corrie Calabrese,c9,c33@acme.com,password,Ambassador,38821,33.977521,-88.436749,2019-12-07,Ambassador,9,1
34,c34,Max Demarzi,c19,c34@acme.com,password,Ambassador,19437,40.182414,-75.25858,2019-12-14,Ambassador,19,1
35,c35,Arletha Azevedo,c10,c35@acme.com,password,Ambassador,98632,46.209509,-123.056153,2019-12-19,Ambassador,10,1
36,c36,Berta Burchill,c9,c36@acme.com,password,Ambassador,19363,39.79056,-75.968479,2019-12-19,Ambassador,9,1
37,c37,Alfred Arcuri,c5,c37@acme.com,password,Ambassador,19611,40.324674,-75.942857,2019-12-06,Ambassador,5,1
38,c38,Claretta Corrales,c19,c38@acme.com,password,Ambassador,7801,40.917192,-74.554744,2019-12-12,Ambassador,19,1
39,c39,Tia Twersky,c10,c39@acme.com,password,Ambassador,30410,32.188589,-82.51347,2019-12-24,Ambassador,10,1
40,c40,Sharell Sollers,c6,c40@acme.com,password,Ambassador,10591,41.090097,-73.841014,2019-12-03,Ambassador,6,1
41,c41,Catrice Crays,c17,c41@acme.com,password,Ambassador,85627,32.007788,-110.235535,2019-12-04,Ambassador,17,1
42,c42,Dina Dreher,c18,c42@acme.com,password,Ambassador,23831,37.346253,-77.450566,2019-12-12,Ambassador,18,1
43,c43,Branda Beauchamp,c11,c43@acme.com,password,Ambassador,24574,37.57615,-79.253367,2019-12-22,Ambassador,11,1
44,c44,Pennie Profit,c19,c44@acme.com,password,Ambassador,38841,34.352581,-89.015298,2019-12-15,Ambassador,19,1
45,c45,Hank Taylor,c17,c45@acme.com,password,Ambassador,19123,39.964489,-75.145802,2019-12-23,Ambassador,17,1
46,c46,Bethanie Bober,c13,c46@acme.com,password,Ambassador,53916,43.456479,-88.85417,2019-12-11,Ambassador,13,1
47,c47,Barney Brode,c14,c47@acme.com,password,Ambassador,45146,39.314119,-83.804201,2019-12-09,Ambassador,14,1
48,c48,Pat Pless,c18,c48@acme.com,password,Ambassador,57779,44.563773,-103.755322,2019-12-03,Ambassador,18,1
49,c49,Anastasia Asberry,c10,c49@acme.com,password,Ambassador,77979,28.609718,-96.609368,2019-12-10,Ambassador,10,1
50,c50,Emmett Eugene,c13,c50@acme.com,password,Ambassador,12884,43.088396,-73.591291,2019-12-16,Ambassador,13,1
51,c51,Vicky Vivian,c40,c51@acme.com,password,Ambassador,35173,33.655233,-86.56324,2019-12-30,Ambassador,40,1
52,c52,Zoe Zenz,c48,c52@acme.com,password,Ambassador,52659,41.129203,-91.441022,2019-12-17,Ambassador,48,1
53,c53,Sunshine Stobaugh,c35,c53@acme.com,password,Ambassador,80227,39.666287,-105.089746,2019-12-23,Ambassador,35,1
54,c54,Kemberly Knisley,c32,c54@acme.com,password,Ambassador,65766,36.536052,-92.268646,2019-12-23,Ambassador,32,1
55,c55,Jackeline Jong,c30,c55@acme.com,password,Ambassador,95357,37.671153,-120.886268,2019-12-21,Ambassador,30,1
56,c56,Katia Kohout,c29,c56@acme.com,password,Ambassador,92563,33.580016,-117.14736,2019-12-14,Ambassador,29,1
57,c57,Lupe Levar,c29,c57@acme.com,password,Ambassador,23395,37.976304,-75.46059,2019-12-16,Ambassador,29,1
58,c58,Marcel Martir,c41,c58@acme.com,password,Ambassador,28430,34.303437,-78.945367,2019-12-23,Ambassador,41,1
59,c59,Trisha Tabron,c30,c59@acme.com,password,Ambassador,52169,42.860729,-91.663085,2019-12-05,Ambassador,30,1
60,c60,Sabina Shriner,c33,c60@acme.com,password,Ambassador,75117,32.715013,-95.854461,2019-12-30,Ambassador,33,1
61,c61,Raphael Roots,c29,c61@acme.com,password,Ambassador,17113,40.225984,-76.827994,2019-12-16,Ambassador,29,1
62,c62,May Michels,c32,c62@acme.com,password,Ambassador,41612,37.354326,-82.723004,2019-12-07,Ambassador,32,1
63,c63,Adina Ausmus,c38,c63@acme.com,password,Ambassador,87554,36.482898,-106.01867,2019-12-16,Ambassador,38,1
64,c64,Darci Diggins,c41,c64@acme.com,password,Ambassador,38764,33.780114,-90.866202,2019-12-31,Ambassador,41,1
65,c65,Carri Colas,c40,c65@acme.com,password,Ambassador,99648,55.911354,-159.16883,2019-12-13,Ambassador,40,1
66,c66,Claudine Carrow,c28,c66@acme.com,password,Ambassador,55906,44.0999,-92.408157,2019-12-18,Ambassador,28,1
67,c67,Casimira Clyburn,c48,c67@acme.com,password,Ambassador,67840,37.057346,-100.043728,2019-12-26,Ambassador,48,1
68,c68,Quyen Quinones,c28,c68@acme.com,password,Ambassador,95355,37.672906,-120.946594,2019-12-08,Ambassador,28,1
69,c69,Basilia Bobadilla,c47,c69@acme.com,password,Ambassador,21631,38.582391,-75.938981,2019-12-26,Ambassador,47,1
70,c70,Jamika Jorden,c36,c70@acme.com,password,Ambassador,56522,46.131926,-96.379386,2019-12-18,Ambassador,36,1
71,c71,Ilene Isenberg,c39,c71@acme.com,password,Customer,34667,28.39142,-82.662783,2019-12-17,,39,1
72,c72,Ernestina Enoch,c28,c72@acme.com,password,Customer,52166,43.065843,-91.93329,2019-12-15,,28,1
73,c73,Alexa Abila,c46,c73@acme.com,password,Customer,75115,32.599427,-96.864075,2019-12-01,,46,1
74,c74,Veronique Vanasse,c30,c74@acme.com,password,Customer,4613,44.376983,-68.029882,2019-12-16,,30,1
75,c75,Lorrine Lowell,c42,c75@acme.com,password,Customer,95549,40.666676,-123.908382,2019-12-30,,42,1
76,c76,Loretta Linehan,c40,c76@acme.com,password,Customer,76017,32.662513,-97.164024,2019-12-01,,40,1
77,c77,Len Loar,c37,c77@acme.com,password,Customer,37208,36.177714,-86.808023,2019-12-20,,37,1
78,c78,Fumiko Fairfield,c44,c78@acme.com,password,Customer,62532,39.763389,-88.989247,2019-12-21,,44,1
79,c79,Alonzo Astin,c30,c79@acme.com,password,Customer,97886,45.802308,-118.27241,2019-12-17,,30,1
80,c80,Janyce Jarrells,c32,c80@acme.com,password,Customer,28617,36.480702,-81.361979,2019-12-20,,32,1
81,c81,Janay Jonason,c40,c81@acme.com,password,Customer,71722,33.721791,-93.174681,2019-12-30,,40,1
82,c82,Geri Garret,c38,c82@acme.com,password,Customer,52307,41.79309,-91.898761,2019-12-17,,38,1
83,c83,Dario Derrico,c32,c83@acme.com,password,Customer,55904,43.95331,-92.401387,2019-12-27,,32,1
84,c84,Tami Toppin,c40,c84@acme.com,password,Customer,68370,40.137925,-97.539899,2019-12-20,,40,1
85,c85,Rickey Ryles,c41,c85@acme.com,password,Customer,46033,39.979283,-86.085557,2019-12-29,,41,1
86,c86,Lenny Lago,c30,c86@acme.com,password,Customer,12801,43.31116,-73.645286,2019-12-05,,30,1
87,c87,Darnell Doering,c28,c87@acme.com,password,Customer,10988,41.302081,-74.548556,2019-12-30,,28,1
88,c88,Cathryn Cascio,c26,c88@acme.com,password,Customer,56243,45.170236,-94.686485,2019-12-16,,26,1
89,c89,Isidra Islas,c45,c89@acme.com,password,Customer,36009,31.594781,-86.301377,2019-12-22,,45,1
90,c90,Ray Ravenell,c47,c90@acme.com,password,Customer,44092,41.599909,-81.468699,2019-12-18,,47,1
91,c91,Lashanda Loeb,c38,c91@acme.com,password,Customer,62326,40.416736,-90.809095,2019-12-30,,38,1
92,c92,Margareta Meli,c35,c92@acme.com,password,Customer,84780,37.125838,-113.494229,2019-12-21,,35,1
93,c93,Valene Vannest,c35,c93@acme.com,password,Customer,56658,48.081884,-93.834648,2019-12-17,,35,1
94,c94,Mandi Marton,c30,c94@acme.com,password,Customer,6063,41.925197,-72.971286,2019-12-16,,30,1
95,c95,Breana Beaudoin,c41,c95@acme.com,password,Customer,98935,46.132575,-120.086236,2019-12-27,,41,1
96,c96,Rudolf Robuck,c26,c96@acme.com,password,Customer,54870,45.70926,-91.775273,2019-12-13,,26,1
97,c97,Tarsha Thibeau,c46,c97@acme.com,password,Customer,59044,45.630132,-108.728496,2019-12-05,,46,1
98,c98,Tobi Trieu,c44,c98@acme.com,password,Customer,97630,42.331353,-120.367452,2019-12-23,,44,1
99,c99,Norbert Nolte,c32,c99@acme.com,password,Customer,24401,38.134387,-79.085564,2019-12-22,,32,1
100,c100,Jessika Judah,c46,c100@acme.com,password,Customer,94706,37.889704,-122.295531,2019-12-23,,46,1
101,c101,Jonathon Jacobo,c30,c101@acme.com,password,Customer,47568,38.808023,-87.246084,2019-12-08,,30,1
102,c102,Trula Tobler,c33,c102@acme.com,password,Customer,54754,44.427159,-90.753321,2019-12-28,,33,1
103,c103,Clarence Chalker,c47,c103@acme.com,password,Customer,77386,30.100262,-95.356488,2019-12-04,,47,1
104,c104,Palma Porterfield,c29,c104@acme.com,password,Customer,7607,40.902885,-74.063457,2019-12-12,,29,1
105,c105,Felisa Foland,c42,c105@acme.com,password,Customer,87037,36.167594,-107.763557,2019-12-09,,42,1
106,c106,Autumn Amore,c47,c106@acme.com,password,Customer,39191,31.711309,-90.424334,2019-12-26,,47,1
107,c107,Aurore Atnip,c29,c107@acme.com,password,Customer,39581,30.357101,-88.489323,2019-12-04,,29,1
108,c108,Willis Wakeman,c36,c108@acme.com,password,Customer,24011,37.27085,-79.94149,2019-12-05,,36,1
109,c109,Marvella Mcfarlin,c29,c109@acme.com,password,Customer,63379,39.001027,-90.995571,2019-12-21,,29,1
110,c110,Shawanna Starks,c38,c110@acme.com,password,Customer,80233,39.899671,-104.946561,2019-12-18,,38,1
111,c111,Christia Colligan,c36,c111@acme.com,password,Customer,26412,38.937198,-80.667711,2019-12-22,,36,1
112,c112,Mirian Mccaskill,c35,c112@acme.com,password,Customer,32801,28.541769,-81.374357,2019-12-30,,35,1
113,c113,Dustin Darrigo,c46,c113@acme.com,password,Customer,39823,31.333568,-84.947033,2019-12-30,,46,1
114,c114,Bettie Bradburn,c43,c114@acme.com,password,Customer,79108,35.534173,-102.026668,2019-12-05,,43,1
115,c115,Voncile Vanetten,c37,c115@acme.com,password,Customer,60012,42.272533,-88.314027,2019-12-10,,37,1
116,c116,Alonso Ahart,c41,c116@acme.com,password,Customer,77384,30.233846,-95.49577,2019-12-03,,41,1
117,c117,Harold Hogsett,c47,c117@acme.com,password,Customer,7605,40.863391,-73.988466,2019-12-15,,47,1
118,c118,Fernando Fremont,c43,c118@acme.com,password,Customer,32920,28.396166,-80.614981,2019-12-04,,43,1
119,c119,Sharee Spina,c28,c119@acme.com,password,Customer,72015,34.485899,-92.585099,2019-12-15,,28,1
120,c120,Mitsuko Mcghie,c35,c120@acme.com,password,Customer,46936,40.484302,-85.927782,2019-12-07,,35,1
121,c121,Mildred Mertes,c38,c121@acme.com,password,Customer,62311,40.209847,-90.930892,2019-12-06,,38,1
122,c122,Andre Arnett,c43,c122@acme.com,password,Customer,89403,39.22719,-119.475593,2019-12-20,,43,1
123,c123,Veola Vazquez,c40,c123@acme.com,password,Customer,71245,32.534103,-92.726168,2019-12-08,,40,1
124,c124,Raisa Rogue,c28,c124@acme.com,password,Customer,24520,36.586589,-79.029748,2019-12-01,,28,1
125,c125,Toni Tope,c39,c125@acme.com,password,Customer,47859,39.88184,-87.172196,2019-12-02,,39,1
126,c126,Della Damiano,c36,c126@acme.com,password,Customer,30178,34.095453,-84.971074,2019-12-05,,36,1
127,c127,Bethel Balsley,c39,c127@acme.com,password,Customer,85254,33.615485,-111.952235,2019-12-26,,39,1
128,c128,Angelia Ahumada,c37,c128@acme.com,password,Customer,99748,64.344035,-158.773307,2019-12-01,,37,1
129,c129,Jerrie Jimenes,c44,c129@acme.com,password,Customer,10801,40.91757,-73.784858,2019-12-15,,44,1
130,c130,Deedee Dave,c35,c130@acme.com,password,Customer,43616,41.656295,-83.399565,2019-12-04,,35,1
131,c131,Stasia Stamant,c46,c131@acme.com,password,Customer,26292,39.141915,-79.533672,2019-12-10,,46,1
132,c132,Rey Roloff,c28,c132@acme.com,password,Customer,34238,27.235792,-82.470536,2019-12-06,,28,1
133,c133,Lyman Lade,c38,c133@acme.com,password,Customer,78608,30.936006,-97.934579,2019-12-14,,38,1
134,c134,Annelle Athey,c38,c134@acme.com,password,Customer,20770,39.002985,-76.879165,2019-12-01,,38,1
135,c135,Darcel Dawe,c34,c135@acme.com,password,Customer,95988,39.491654,-122.26208,2019-12-18,,34,1
136,c136,Kristi Kyllonen,c27,c136@acme.com,password,Customer,22847,38.730637,-78.717385,2019-12-31,,27,1
137,c137,Ivey Inskeep,c46,c137@acme.com,password,Customer,62573,39.945409,-89.074133,2019-12-26,,46,1
138,c138,Wilhelmina Wolken,c32,c138@acme.com,password,Customer,78164,28.98256,-97.520734,2019-12-25,,32,1
139,c139,Shavon Strouse,c39,c139@acme.com,password,Customer,58463,47.491985,-100.473402,2019-12-16,,39,1
140,c140,Barney Brim,c39,c140@acme.com,password,Customer,77093,29.863156,-95.341927,2019-12-07,,39,1
141,c141,Fallon Fagundes,c28,c141@acme.com,password,Customer,38042,35.145159,-89.137403,2019-12-25,,28,1
142,c142,Tonisha Trumbull,c43,c142@acme.com,password,Customer,55951,43.529233,-92.482488,2019-12-03,,43,1
143,c143,Aleshia Amsler,c28,c143@acme.com,password,Customer,50316,41.608629,-93.599579,2019-12-10,,28,1
144,c144,Marianne Macaulay,c44,c144@acme.com,password,Customer,75644,32.791213,-94.999846,2019-12-17,,44,1
145,c145,Kimbra Kral,c42,c145@acme.com,password,Customer,56211,45.574195,-96.679838,2019-12-06,,42,1
146,c146,Alfonzo Alleman,c43,c146@acme.com,password,Customer,79543,32.71433,-100.407773,2019-12-27,,43,1
147,c147,Fletcher Fiorillo,c43,c147@acme.com,password,Customer,11752,40.757114,-73.174012,2019-12-10,,43,1
148,c148,Josue Judd,c47,c148@acme.com,password,Customer,35765,34.690313,-85.814085,2019-12-21,,47,1
149,c149,Clair Carreira,c38,c149@acme.com,password,Customer,60101,41.930512,-88.017821,2019-12-04,,38,1
150,c150,Kyoko Kimbrell,c46,c150@acme.com,password,Customer,27958,36.484298,-76.13835,2019-12-14,,46,1
